title,model,mileage,fuel_type,engine_power,transmission,price,scraped_at
Toyota Yaris Sedan  2021 ATIV CVT 1.3,2021,"143,400 km",Hybrid,1800 cc,Automatic,,2025-11-16 16:25:15.383051
Haval H6  2025 PHEV,2005,"165,939 km",Petrol,2400 cc,Automatic,,2025-11-16 16:25:15.383051
Suzuki Swift  2023 GLX CVT,2024,"9,200 km",Petrol,660 cc,Automatic,,2025-11-16 16:25:15.383051
